placa,tipo_infraccion,gravedad,tipo_vehiculo,velocidad,fecha_hora,hora
DSZ-128,INVASION_CARRIL,MODERADA,MOTO,72.51128577912455,2025-04-20 15:30:29.367986,13
HTC-211,NO_CINTURON,LEVE,BUS,52.579449466233264,2025-02-18 15:30:29.368412,23
VWV-849,GIRO_PROHIBIDO,MUY_GRAVE,CAMION,32.29841348292898,2025-08-15 15:30:29.368844,5
NRZ-876,GIRO_PROHIBIDO,LEVE,CAMION,51.49995881234842,2025-01-05 15:30:29.369309,11
UFF-602,INVASION_CARRIL,MODERADA,BUS,64.04504036095607,2024-12-07 15:30:29.369704,7
WII-198,ESTACIONAMIENTO_PROHIBIDO,MODERADA,AUTO,56.54915346605426,2024-10-28 15:30:29.370101,11
PMA-441,NO_RESPETAR_PASO_PEATONAL,MUY_GRAVE,AUTO,84.5716912432146,2024-11-06 15:30:29.370468,3
LYQ-574,EXCESO_VELOCIDAD,MODERADA,AUTO,82.5155826000669,2025-06-17 15:30:29.370838,1
SVX-124,ESTACIONAMIENTO_PROHIBIDO,MUY_GRAVE,AUTO,89.44233951068188,2024-11-08 15:30:29.371255,13
NOL-775,NO_CINTURON,LEVE,MOTO,54.22409607210741,2024-12-27 15:30:29.371637,5
RWR-322,LUZ_ROJA,MODERADA,AUTO,59.945961913641476,2025-07-18 15:30:29.372033,19
QWM-378,USO_CELULAR,LEVE,AUTO,42.624529662111854,2025-10-10 15:30:29.372395,0
DMK-358,INVASION_CARRIL,LEVE,MOTO,39.21942201495402,2025-04-29 15:30:29.372749,6
HGC-500,NO_CINTURON,GRAVE,AUTO,43.390207299805326,2024-12-11 15:30:29.373159,7
JCR-949,LUZ_ROJA,GRAVE,AUTO,82.13779920730927,2025-09-01 15:30:29.373529,17
AUT-560,INVASION_CARRIL,GRAVE,MOTO,82.85526299160907,2024-11-28 15:30:29.373894,14
OXK-930,ESTACIONAMIENTO_PROHIBIDO,MODERADA,AUTO,80.2721764421026,2025-10-09 15:30:29.374289,8
IGA-486,GIRO_PROHIBIDO,LEVE,AUTO,66.96201990334956,2025-07-17 15:30:29.374662,11
DSZ-128,ESTACIONAMIENTO_PROHIBIDO,MODERADA,AUTO,85.07280353108115,2025-03-05 15:30:29.375066,22
